GameID,Date,AwayTeam,HomeTeam
717538,2023-07-01T20:07:00Z,Chicago White Sox,Oakland Athletics
717535,2023-07-01T20:10:00Z,San Francisco Giants,New York Mets
717536,2023-07-01T20:10:00Z,Miami Marlins,Atlanta Braves
717546,2023-07-01T23:15:00Z,Cleveland Guardians,Chicago Cubs
717537,2023-07-01T23:15:00Z,Los Angeles Dodgers,Kansas City Royals
717534,2023-07-01T23:15:00Z,Tampa Bay Rays,Seattle Mariners
717544,2023-07-02T01:10:00Z,Detroit Tigers,Colorado Rockies
717533,2023-07-02T02:07:00Z,Arizona Diamondbacks,Los Angeles Angels
717529,2023-07-02T16:05:00Z,Minnesota Twins,Baltimore Orioles
717528,2023-07-02T17:35:00Z,Washington Nationals,Philadelphia Phillies
717532,2023-07-02T17:35:00Z,Miami Marlins,Atlanta Braves
717531,2023-07-02T17:35:00Z,Milwaukee Brewers,Pittsburgh Pirates
717530,2023-07-02T17:37:00Z,Boston Red Sox,Toronto Blue Jays
717526,2023-07-02T17:40:00Z,San Diego Padres,Cincinnati Reds
717525,2023-07-02T17:40:00Z,San Francisco Giants,New York Mets
717527,2023-07-02T18:10:00Z,Los Angeles Dodgers,Kansas City Royals
717524,2023-07-02T18:15:00Z,New York Yankees,St. Louis Cardinals
717521,2023-07-02T18:20:00Z,Cleveland Guardians,Chicago Cubs
717520,2023-07-02T18:35:00Z,Houston Astros,Texas Rangers
717523,2023-07-02T19:10:00Z,Detroit Tigers,Colorado Rockies
717522,2023-07-02T20:07:00Z,Arizona Diamondbacks,Los Angeles Angels
717518,2023-07-02T20:07:00Z,Chicago White Sox,Oakland Athletics
717519,2023-07-02T20:10:00Z,Tampa Bay Rays,Seattle Mariners
717514,2023-07-03T18:05:00Z,Houston Astros,Texas Rangers
717511,2023-07-03T18:10:00Z,Chicago Cubs,Milwaukee Brewers
717517,2023-07-03T22:05:00Z,Cincinnati Reds,Washington Nationals
717515,2023-07-03T22:40:00Z,St. Louis Cardinals,Miami Marlins
717513,2023-07-03T23:05:00Z,Baltimore Orioles,New York Yankees
717512,2023-07-03T23:10:00Z,Atlanta Braves,Cleveland Guardians
717510,2023-07-04T00:10:00Z,Kansas City Royals,Minnesota Twins
717505,2023-07-04T01:40:00Z,Los Angeles Angels,San Diego Padres
717516,2023-07-04T01:45:00Z,Seattle Mariners,San Francisco Giants
717506,2023-07-04T02:10:00Z,Pittsburgh Pirates,Los Angeles Dodgers
717507,2023-07-04T15:05:00Z,Cincinnati Reds,Washington Nationals
717508,2023-07-04T17:05:00Z,Baltimore Orioles,New York Yankees
717502,2023-07-04T17:10:00Z,St. Louis Cardinals,Miami Marlins
717501,2023-07-04T17:35:00Z,Texas Rangers,Boston Red Sox
717500,2023-07-04T18:10:00Z,Kansas City Royals,Minnesota Twins
717509,2023-07-04T20:05:00Z,Seattle Mariners,San Francisco Giants
717504,2023-07-04T20:10:00Z,Colorado Rockies,Houston Astros
717498,2023-07-04T20:10:00Z,New York Mets,Arizona Diamondbacks
717499,2023-07-04T20:10:00Z,Philadelphia Phillies,Tampa Bay Rays
717503,2023-07-04T20:10:00Z,Chicago Cubs,Milwaukee Brewers
717494,2023-07-04T22:40:00Z,Oakland Athletics,Detroit Tigers
717497,2023-07-04T22:40:00Z,Los Angeles Angels,San Diego Padres
717495,2023-07-04T23:10:00Z,Atlanta Braves,Cleveland Guardians
717496,2023-07-05T00:10:00Z,Toronto Blue Jays,Chicago White Sox
717492,2023-07-05T01:10:00Z,Pittsburgh Pirates,Los Angeles Dodgers
717489,2023-07-05T18:10:00Z,Colorado Rockies,Houston Astros
717485,2023-07-05T22:40:00Z,Oakland Athletics,Detroit Tigers
717491,2023-07-05T22:40:00Z,Philadelphia Phillies,Tampa Bay Rays
717488,2023-07-05T22:40:00Z,St. Louis Cardinals,Miami Marlins
717493,2023-07-05T23:05:00Z,Cincinnati Reds,Washington Nationals
717487,2023-07-05T23:05:00Z,Baltimore Orioles,New York Yankees
717484,2023-07-05T23:10:00Z,Texas Rangers,Boston Red Sox
717486,2023-07-05T23:10:00Z,Atlanta Braves,Cleveland Guardians
717482,2023-07-05T23:40:00Z,Kansas City Royals,Minnesota Twins
717480,2023-07-06T00:10:00Z,Toronto Blue Jays,Chicago White Sox
